Geo,Hole _ID,From_ft,To_ft,From_m,To_m,Alt_Type,qs,qz,chl,bc,cal,dol,Description,foldername,filename,,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,FeCarb
,,,,0,0,,,,,,,,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,
JL,KM-22-94,1975,2060,601.98,627.888,qs,4,2,,,1,,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
,,2060,2202,,,qs,4,2,,,,1,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
,,2202,2357,,,qs,5,1,,,,2,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
,,2357,,,,qs,4,2,1,,,1,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
JV,KM-22-93X,10,51,3.048,15.5448,qs,3,3,2,,,,,_Logs,KM-22-93X.xlsx,,,,,,,,,,,,,,
JV,KM-22-93,0,105,0,32.004,qs,3,3,,2,,,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,
JV,KM-22-93,105,330,32.004,100.584,qz,3,4,,2,,2,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,
JV,KM-22-93,330,600,100.584,182.88,qs,3,3,,3,,1,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,
JV,KM-22-93,600,1395,182.88,425.196,qz,2,4,,3,,,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,
JV,KM-22-93,1395,1566,425.196,477.3168,qz,1,3,,3,,,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,
JV,KM-22-93,1566,1593,477.3168,485.5464,qz,1,4,,2,,,"heavy quartz; py, cp, trace sphalerite",_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,
JV,KM-22-93,1593,1705,485.5464,519.684,qs,1,2,,2,,,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,
JR,KM-22-93,1705,1729,519.684,526.9992,qz,,5,,2,,1,intense silicification; patchy sulfides,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,
