Geo,Hole _ID,Depth_ft,Depth_m,Angle_deg,Notes,foldername,filename,,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,From_ft,From_m,Dip_deg,_19,_20
JR,KM-22-95,15,4.57,25,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,29,8.84,30,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,45,13.72,30,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,60,18.29,45,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,75,22.86,45,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,90,27.43,40,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,105,32.00,40,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,111,33.83,10,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,120,36.58,15,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,129,39.32,50,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,140,42.67,30,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,148,45.11,20,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,165,50.29,10,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,177,53.95,5,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,189,57.61,15,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,205,62.48,10,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,220,67.06,20,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,225,68.58,30,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,240,73.15,25,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,255,77.72,15,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,270,82.30,15,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
JR,KM-22-95,285,86.87,30,weak,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,40,12.19,na,massive,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,47,14.33,na,massive,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,60,18.29,70,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,75,22.86,65,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,90,27.43,85,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,105,32.00,10,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,120,36.58,10,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,135,41.15,70,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,150,45.72,60,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,165,50.29,40,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,180,54.86,10,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,195,59.44,80,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
MH,KM-22-94,210,64.01,50,,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,,,,,,,
