SAMPLE,Recvd Wt.,Au,Ag,Al,As,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,Ag_2,foldername,filename,Cu_2,Au_2,Zn_2,Ce,Cs,Ge,Hf,In,Li,Nb,Rb,Re,Se,Sn,Ta,Te,Y,Zr,Sn_2,Pb_2
E571187,5.64,0.197,14,4.22,1660,180,<10,<20,2.03,20,10,10,3520,6.11,<50,1.0,<50,3.09,950,<10,0.36,<10,340,240,1.73,1310,10,60,<50,0.10,<50,<50,30,<50,4750,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571188,5.05,0.112,5,4.98,1130,150,<10,<20,3.74,10,10,10,2300,6.30,<50,1.1,<50,4.30,1100,<10,0.25,<10,80,270,2.07,280,10,80,<50,0.07,<50,<50,20,<50,2710,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571189,5.67,0.133,<1,4.41,1890,170,<10,<20,0.22,30,10,10,410,5.99,<50,1.0,<50,2.12,480,<10,0.19,<10,<50,30,2.58,<50,10,30,<50,<0.05,<50,<50,<10,<50,7120,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571190,0.11,5.26,>200,2.28,1560,1040,<10,20,2.44,190,70,90,7460,17.80,<50,0.9,<50,1.26,1240,740,0.66,60,450,21700,>10.0,1010,<10,100,<50,0.18,<50,<50,130,<50,34700,357,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571191,5.22,0.013,<1,3.24,120,200,<10,<20,0.07,<10,<10,20,80,1.96,<50,1.2,<50,0.79,190,<10,0.23,<10,<50,20,0.05,<50,<10,10,<50,<0.05,<50,<50,<10,<50,280,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571192,5.24,0.038,<1,1.51,470,170,<10,<20,0.08,<10,<10,10,40,1.35,<50,0.9,<50,0.70,80,<10,0.19,<10,<50,<20,0.06,<50,<10,20,<50,<0.05,<50,<50,<10,<50,470,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571193,3.80,0.132,1,3.38,1710,170,<10,<20,0.17,10,10,20,800,2.62,<50,0.9,<50,1.19,220,<10,0.17,<10,<50,60,0.45,<50,10,20,<50,<0.05,<50,<50,<10,<50,2020,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571194,3.67,0.019,<1,3.06,130,160,<10,<20,0.08,<10,<10,10,20,2.44,<50,0.9,<50,1.22,190,<10,0.17,<10,<50,40,<0.05,<50,<10,20,<50,<0.05,<50,<50,<10,<50,170,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571195,4.19,0.117,8,3.64,1020,130,<10,<20,0.17,20,<10,10,760,6.69,<50,0.8,<50,2.62,370,<10,0.16,<10,<50,3680,3.25,<50,10,20,<50,<0.05,<50,<50,<10,<50,9550,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571196,5.78,0.282,3,4.44,4470,150,<10,<20,1.59,10,10,10,2030,5.56,<50,0.9,<50,4.28,800,<10,0.22,<10,50,330,0.94,250,10,50,<50,<0.05,<50,<50,10,<50,3980,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571197,5.42,0.129,4,5.24,640,250,<10,<20,2.71,<10,10,10,2290,4.49,<50,1.3,<50,3.27,1130,<10,0.39,<10,210,160,0.80,270,10,80,<50,0.09,<50,<50,40,<50,350,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571198,5.44,0.121,8,5.69,600,210,<10,<20,3.59,<10,10,10,4970,6.54,<50,1.0,<50,5.99,1290,<10,0.34,<10,140,310,0.99,1760,10,90,<50,0.08,<50,<50,20,<50,550,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571199,5.47,0.036,<1,5.43,140,280,<10,<20,3.38,<10,10,10,90,2.64,<50,1.4,<50,2.42,900,<10,0.40,<10,140,70,0.59,<50,10,90,<50,0.09,<50,<50,20,<50,310,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571200,0.11,0.005,<1,4.07,<50,800,<10,<20,1.54,<10,<10,30,30,2.32,<50,1.5,<50,0.33,580,<10,3.23,10,330,<20,<0.05,<50,<10,170,<50,0.16,<50,<50,30,<50,40,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571201,5.55,0.015,<1,4.24,<50,280,<10,<20,2.82,<10,<10,<10,20,1.83,<50,1.6,<50,1.82,500,<10,0.33,<10,60,<20,0.22,<50,10,70,<50,0.06,<50,<50,10,<50,70,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571202,2.90,0.005,<1,4.27,<50,290,<10,<20,2.65,<10,<10,<10,20,1.67,<50,1.5,<50,1.72,420,<10,0.32,<10,50,<20,0.06,<50,10,70,<50,0.05,<50,<50,<10,<50,80,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571203,2.88,0.011,2,3.95,<50,290,<10,<20,4.22,<10,<10,<10,350,1.76,<50,1.5,<50,2.04,550,<10,0.37,<10,50,<20,0.13,80,10,80,<50,0.05,<50,<50,<10,<50,90,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571204,4.10,0.593,24,1.51,10600,60,<10,20,5.69,20,210,<10,22900,23.7,<50,0.3,<50,5.56,1580,<10,0.09,<10,<50,2390,>10.0,230,<10,60,<50,<0.05,<50,<50,<10,<50,7640,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571205,4.59,0.048,3,6.28,3720,220,<10,<20,2.22,10,40,<10,2840,9.34,<50,0.9,<50,8.52,1150,<10,0.15,<10,<50,120,1.84,180,10,70,<50,<0.05,<50,<50,<10,<50,1850,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571206,5.83,0.007,<1,6.62,80,720,<10,<20,5.70,<10,30,170,210,6.63,<50,0.9,<50,4.88,1100,<10,1.89,80,2030,20,0.20,<50,20,630,<50,0.74,<50,<50,260,<50,150,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
