Geo,Work_Order,Sample_ID,Hole_ID,Depth_ft,Depth_m,Description,foldername,filename,,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,CHANGE FOR NEW HOLE !!,depth
,,,KM-22-XX,1200,365.76,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,,KM-22-93X,,0.00,,_Logs,KM-22-93X.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760294,KM-22-93,110,33.53,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760295,KM-22-93,120,36.58,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760296,KM-22-93,130,39.62,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760297,KM-22-93,140,42.67,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760298,KM-22-93,150,45.72,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760299,KM-22-93,160,48.77,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760300,KM-22-93,170,51.82,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760301,KM-22-93,180,54.86,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760302,KM-22-93,190,57.91,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760303,KM-22-93,200,60.96,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760304,KM-22-93,210,64.01,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760305,KM-22-93,220,67.06,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760306,KM-22-93,230,70.10,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760307,KM-22-93,240,73.15,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760308,KM-22-93,250,76.20,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760309,KM-22-93,260,79.25,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760310,KM-22-93,270,82.30,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760311,KM-22-93,280,85.34,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760312,KM-22-93,290,88.39,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760313,KM-22-93,300,91.44,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760314,KM-22-93,310,94.49,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760315,KM-22-93,320,97.54,GAP,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760316,KM-22-93,400,121.92,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760317,KM-22-93,410,124.97,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760318,KM-22-93,420,128.02,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760319,KM-22-93,430,131.06,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760320,KM-22-93,440,134.11,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760321,KM-22-93,450,137.16,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760322,KM-22-93,460,140.21,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760323,KM-22-93,470,143.26,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760324,KM-22-93,480,146.30,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760325,KM-22-93,490,149.35,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760326,KM-22-93,500,152.40,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760327,KM-22-93,510,155.45,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760328,KM-22-93,520,158.50,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760329,KM-22-93,530,161.54,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760330,KM-22-93,540,164.59,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760331,KM-22-93,550,167.64,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760332,KM-22-93,560,170.69,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760333,KM-22-93,570,173.74,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760334,KM-22-93,580,176.78,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760335,KM-22-93,590,179.83,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760336,KM-22-93,600,182.88,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760337,KM-22-93,610,185.93,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760338,KM-22-93,620,188.98,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760339,KM-22-93,630,192.02,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760340,KM-22-93,640,195.07,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760341,KM-22-93,650,198.12,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760342,KM-22-93,660,201.17,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760343,KM-22-93,670,204.22,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
JV,,G760344,KM-22-93,680,207.26,,_Logs,KM-22-93.xlsx,,,,,,,,,,,,,,,,,,,,,
