Geo,Hole _ID,From_ft,To_ft,From_m,To_m,Lithology,Texture,Description,foldername,filename,,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17
JR,KM-22-95,0,29.5,0,8.9916,mvsch,fol,sericite-chlorite-calcite schist; strong orange Fe-Ox staining; mostly orange-brown w/ dark to medium green pathces were Fe-Ox staining isn't dominant; moderate foliation; psuedogranular texture; poor recovery from 0'-20',_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,
JR,KM-22-95,29.5,101.5,8.9916,30.9372,flt,bx,substantial fault zone; fault gouge with orange/brown to grey green clay; alternating consolidated schist; clasts from ~1mm-15mm; moderate calcite-quartz fracture fill,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,
JR,KM-22-95,101.5,,,,mvsch,fol,sericite-chlorite-calcite schist; dark to medium green-gray; moderate foliation; abundant ductile deformation texture;abundant calcite laminations abundant brecciations from ~101.5'-176' with calcite fracture fill,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,0,489.5,0,149.1996,mvsch,fol,volcaniclastic/pyroclastic texture; variable medium grey; moderate foliation; weak silicification with some intervals of mod-strong silicification; sparce pyrite patches,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,489.5,599,149.1996,182.5752,mvc,mas,volcaniclastic/pyroclastic texture; variable green/blue grey; intense silicification in some areas; sparce pyrite patches,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,599,603,182.5752,183.7944,md,mas,mafic dike; dark grey; fine grained; white specs; weakly magnetic,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,603,632.5,183.7944,192.786,mvc,mas,volcaniclastic/pyroclastic texture; variable green/blue grey; intense silicification in some areas; sparce pyrite patches,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,632.5,654,192.786,199.3392,mvsch,fol,volcaniclastic/pyroclastic texture; variable medium grey; moderate foliation; weak silicification,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,654,1037,199.3392,316.0776,mvc,mas,volcaniclastic/pyroclastic texture; variable green/blue grey; intense silicification in some areas; sparce pyrite patches,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1037,1041,316.0776,317.2968,md,mas,mafic dike; dark grey; fine grained; white specs; weakly magnetic,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1041,1151.5,317.2968,350.9772,mvc,mas,volcaniclastic/pyroclastic texture; variable green/blue grey; intense silicification in some areas; sparce pyrite patches; pseudo granular until 1110',_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1151.5,1230,350.9772,374.904,mvc,mas,volcaniclastic/pyroclastic texture; intermediate; moderate silicification; sparce pyrite patches; ,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1230,1288.5,374.904,392.7348,mvsch,fol,sericite-quartz-chlorite schist; intermediate; moderate silicification; moderate to strong foliation,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1288.5,1321.5,392.7348,402.7932,mgs,fol,weak to moderate graphite laminations in sericite-quartz-chlorite schist; medium to dark gray; intermediate to mafic composition; weak to moderate foliation;  pyrite patches; strong silicification,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1321.5,1353,402.7932,412.3944,mvsch,fol,sericite-quartz-chlorite schist; intermediate; light to medium grey... almost looks felsic; moderate silicification; moderate to strong foliation,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1353,1378,412.3944,420.0144,mvc,mas,volcaniclastic/pyroclastic texture; intermediate; moderate silicification; sparce pyrite patches; ,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1378,1386.5,420.0144,422.6052,md,mas,mafic dike; dark grey; fine grained; white specs; weakly magnetic,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1386.5,1392,422.6052,424.2816,mvc,mas,volcaniclastic/pyroclastic texture; intermediate; moderate silicification; sparce pyrite patches; ,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1392,1397.5,424.2816,425.958,md,mas,mafic dike; dark grey; fine grained; white specs; weakly magnetic,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1397.5,1401,425.958,427.0248,mvc,mas,volcaniclastic/pyroclastic texture; intermediate; moderate silicification; sparce pyrite patches; ,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1401,1462,427.0248,445.6176,nr,,"""IDS motered""",_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1462,1533,445.6176,467.2584,mvsch,fol,sericite-quartz-chlorite schist; intermediate; light to medium grey; moderate silicification; strong foliation,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1533,1549.5,467.2584,472.2876,flt,bx,"fault gouge; green grey clay, breccia clasts are subangular 1-6mm ",_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1549.5,1569,472.2876,478.2312,mvsch,fol,sericite-quartz-chlorite schist; intermediate; light to medium grey; moderate silicification; strong foliation,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1569,1573.5,478.2312,479.6028,md,mas,mafic dike; dark grey; fine grained; white specs; weakly magnetic,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1573.5,1704,479.6028,519.3792,mvsch,fol,sericite-quartz-chlorite schist; medium grey; moderate silicification; strong foliation,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1704,1878.5,519.3792,572.5668,mvc,mas,volcaniclastic/pyroclastic texture; intermediate; moderate silicification; sparce pyrite patches,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1878.5,1879.5,572.5668,572.8716,md,mas,mafic dike; dark grey; fine grained; white specs; weakly magnetic,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
MH,KM-22-94,1879.5,1900,572.8716,579.12,mvc,mas,volcaniclastic/pyroclastic texture; intermediate; moderate silicification; sparce pyrite patches,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
JL,KM-22-94,1900,1973,579.12,601.3704,mvsch,fol,sericite-chlorite-carbonate schist; volcaniclastic texture; dark geen grey; strong foliation; common thin quartz-calcite laminations ,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
JL,KM-22-94,1973,2061,601.3704,628.1928,hwfs,fol,felsic sericite-chlorite schist; psuedogranular texture; dark geen grey; weak to moderate foliation; common quartz lenses,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
JL,KM-22-94,2061,2089,628.1928,636.7272,hwfs,fol,"sericite-quartz schist; medium-dark gray, moderate foliation, thin laminations, sparse quartz lenses, strong silicification.",_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,,
