Geo,Hole _ID,From_ft,To_ft,From_m,To_m,Min_Type,sulf%,cp%,py%,gn%,sl%,other,Description,foldername,filename,,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,Hole_ID,To_Ft
,,,,0,0,,0,,,,,,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,83.5152,84.2772,25.455433,25.687691,,0,,,,,,mafic schist; no mineralization; clay/gouge,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,84.2772,85.8012,25.687691,26.152206,,0,,,,,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,85.8012,87.1728,26.152206,26.570269,,0,,,,,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,87.1728,88.2396,26.570269,26.89543,,1,,1,,,,very weak stringer sulfidation mafic schist; folded faulty zone; pyrite 1%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,88.2396,89.7636,26.89543,27.359945,,0,,,,,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,89.7636,91.1352,27.359945,27.778009,,0,,,,,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,91.1352,92.0496,27.778009,28.056718,,0,,,,,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,92.0496,92.5068,28.056718,28.196073,,0,,,,,,mafic schist; no mineralization; clay/gouge,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,274,276.5,83.5152,84.2772,,0,,,,,,mafic schist; no mineralization; clay/gouge,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,276.5,281.5,84.2772,85.8012,,0,,,,,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,281.5,286,85.8012,87.1728,,0,,,,,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,286,289.5,87.1728,88.2396,,1,,1,,,,very weak stringer sulfidation mafic schist; folded faulty zone; pyrite 1%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,289.5,294.5,88.2396,89.7636,,0,,,,,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,294.5,299,89.7636,91.1352,,0,,,,,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,299,302,91.1352,92.0496,,0,,,,,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,302,303.5,92.0496,92.5068,,0,,,,,,mafic schist; no mineralization; clay/gouge,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,362.712,363.9312,110.554618,110.92623,,0,,,,,,intermediate mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,363.9312,364.998,110.92623,111.25139,,5,,5,,,,strong patches of sulfides; intermediate mafic schist; large vein carrying sulfides with moderate to strong chlorite altered lithology; 3-5% pyrite,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,364.998,366.3696,111.25139,111.669454,,0.1,,0.1,,,,trace sulfides; intermediate mafic schist; pyrite 0.1%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,366.3696,366.9792,111.669454,111.85526,,0.5,,0.5,,,,patchy sulfides; intermediate mafic schist; pyrite 0.5,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,366.9792,367.284,111.85526,111.948163,,12,2,10,,,,very weak stringer sulfidation; intermediate mafic schist; pyrite 10%; chalcopyrite 2%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,367.284,368.808,111.948163,112.412678,,0,,,,,,intermediate mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
MH,KM-22-94,368.808,369.7224,112.412678,112.691388,,0,,,,,,intermediate mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,
