Geo,Work_Order,Sample_ID,Hole_ID,From_ft,To_Ft,From_m,To_m,QAQC,Description,foldername,filename,,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16
,,,,,,0,0,,,_Logs,KM-22-95.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,83.5152,84.2772,25.455433,25.687691,,mafic schist; no mineralization; clay/gouge,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,84.2772,85.8012,25.687691,26.152206,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,85.8012,87.1728,26.152206,26.570269,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,87.1728,88.2396,26.570269,26.89543,,very weak stringer sulfidation mafic schist; folded faulty zone; pyrite 1%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,88.2396,89.7636,26.89543,27.359945,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,89.7636,91.1352,27.359945,27.778009,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,91.1352,92.0496,27.778009,28.056718,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,92.0496,92.5068,28.056718,28.196073,,mafic schist; no mineralization; clay/gouge,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,274,276.5,83.5152,84.2772,,mafic schist; no mineralization; clay/gouge,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,276.5,281.5,84.2772,85.8012,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,281.5,286,85.8012,87.1728,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,286,289.5,87.1728,88.2396,,very weak stringer sulfidation mafic schist; folded faulty zone; pyrite 1%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,289.5,294.5,88.2396,89.7636,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,294.5,299,89.7636,91.1352,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,299,302,91.1352,92.0496,,mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,302,303.5,92.0496,92.5068,,mafic schist; no mineralization; clay/gouge,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,362.712,363.9312,110.554618,110.92623,,intermediate mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,363.9312,364.998,110.92623,111.25139,,strong patches of sulfides; intermediate mafic schist; large vein carrying sulfides with moderate to strong chlorite altered lithology; 3-5% pyrite,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,364.998,366.3696,111.25139,111.669454,,trace sulfides; intermediate mafic schist; pyrite 0.1%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,366.3696,366.9792,111.669454,111.85526,,patchy sulfides; intermediate mafic schist; pyrite 0.5,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,366.9792,367.284,111.85526,111.948163,,very weak stringer sulfidation; intermediate mafic schist; pyrite 10%; chalcopyrite 2%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,367.284,368.808,111.948163,112.412678,,intermediate mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,368.808,369.7224,112.412678,112.691388,,intermediate mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,369.7224,370.4844,112.691388,112.923645,,patchy sulfides; intermediate mafic schist; pyrite 0.5,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,370.4844,371.5512,112.923645,113.248806,,intermediate mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,392.7348,393.954,119.705567,120.077179,,disceminated sulfides; mafic graphite schist; pyrite <1%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,393.954,395.3256,120.077179,120.495243,,disceminated sulfides; mafic graphite schist; pyrite .5,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,395.3256,396.8496,120.495243,120.959758,,sulfide patches mafic graphite schist; pyrite 1%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,396.8496,397.3068,120.959758,121.099113,,very weak stringer sulfides; mafic graphite schist; pyrite 5%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,397.3068,398.6784,121.099113,121.517176,,sulfide patches mafic graphite schist; pyrite 1%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,398.6784,400.2024,121.517176,121.981691,,sulfide patches mafic graphite schist; pyrite 1%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,400.2024,401.7264,121.981691,122.446207,,disceminated sulfides; mafic graphite schist; pyrite .5,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,401.7264,402.7932,122.446207,122.771367,,disceminated sulfides; mafic graphite schist; pyrite .5,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,1190,1194,362.712,363.9312,,intermediate mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,1194,1197.5,363.9312,364.998,,strong patches of sulfides; intermediate mafic schist; large vein carrying sulfides with moderate to strong chlorite altered lithology; 3-5% pyrite,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,1197.5,1202,364.998,366.3696,,trace sulfides; intermediate mafic schist; pyrite 0.1%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,1202,1204,366.3696,366.9792,,patchy sulfides; intermediate mafic schist; pyrite 0.5,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,1204,1205,366.9792,367.284,,very weak stringer sulfidation; intermediate mafic schist; pyrite 10%; chalcopyrite 2%,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,1205,1210,367.284,368.808,,intermediate mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
MH,,,KM-22-94,1210,1213,368.808,369.7224,,intermediate mafic schist; no mineralization,_Logs,KM-22-94.xlsx,,,,,,,,,,,,,,,,
