SAMPLE,Recvd Wt.,Au,Ag,Al,As,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,Ag_2,foldername,filename,B,Hg,Zn_2,Ce,Cs,Ge,Hf,In,Li,Nb,Rb,Re,Se,Sn,Ta,Te,Y,Zr,Cu_2,Pb_2,Au_2
B300951," 1.00"," 0.073"," 1"," 2.41"," 190"," 190",<10,<20," 1.51",<10," 10"," 60"," 220"," 14.55",<50," 0.8",<50," 0.43"," 310"," 10"," 0.14"," 60"," 710"," 30"," 0.34",<50," 10"," 440",<50," 0.07",<50,<50," 140",<50," 170",,TU20081852 Ray Harris 2020 04-24,TU20081852.csv,,,,,,,,,,,,,,,,,,,,,
B300952," 1.12"," 0.013",<1," 1.51",<50," 250",<10,<20," 3.28",<10," 20"," 70"," 110"," 12.70",<50," 0.3",<50," 0.74"," 1750",<10," 0.11"," 80"," 1610",<20," 0.08",<50," 10"," 90",<50," 0.10",<50,<50," 100",<50," 130",,TU20081852 Ray Harris 2020 04-24,TU20081852.csv,,,,,,,,,,,,,,,,,,,,,
B300953," 1.27"," 0.026"," 1"," 2.33"," 120"," 220",<10,<20," 3.21",<10," 30"," 90"," 170"," 15.25",<50," 0.7",<50," 0.82"," 2050"," 10"," 0.34"," 100"," 1210"," 20"," 0.24",<50," 10"," 120",<50," 0.15",<50,<50," 130",<50," 210",,TU20081852 Ray Harris 2020 04-24,TU20081852.csv,,,,,,,,,,,,,,,,,,,,,
B300954," 1.14"," 0.030",<1," 2.12"," 560"," 130",<10,<20," 2.49",<10," 20"," 130"," 270"," 18.15",<50," 0.6",<50," 0.80"," 1080"," 10"," 0.18"," 90"," 1190"," 30"," 0.15",<50," 10"," 80",<50," 0.07",<50,<50," 190",<50," 300",,TU20081852 Ray Harris 2020 04-24,TU20081852.csv,,,,,,,,,,,,,,,,,,,,,
B300955," 1.41"," 0.018",<1," 2.81"," 80"," 210",<10,<20," 1.76",<10," 10"," 60"," 160"," 11.70",<50," 0.9",<50," 0.33"," 500"," 10"," 0.33"," 40"," 1060"," 40"," 0.12",<50," 10"," 50",<50," 0.10",<50,<50," 180",<50," 170",,TU20081852 Ray Harris 2020 04-24,TU20081852.csv,,,,,,,,,,,,,,,,,,,,,
B300956," 1.32"," 0.041"," 1"," 2.90"," 120"," 410",<10,<20," 2.10"," 10"," 30"," 60"," 220"," 15.10",<50," 1.0",<50," 0.62"," 6630"," 20"," 0.06"," 90"," 930"," 50"," 0.11",<50," 10"," 140",<50," 0.12",<50,<50," 250",<50," 350",,TU20081852 Ray Harris 2020 04-24,TU20081852.csv,,,,,,,,,,,,,,,,,,,,,
B300957," 1.69"," 0.020",<1," 5.20"," 120"," 220",<10,<20," 0.39",<10," 30"," 110"," 240"," 16.95",<50," 1.1",<50," 1.11"," 800"," 10"," 0.44"," 90"," 1150"," 30"," 0.15",<50," 20"," 70",<50," 0.21",<50,<50," 280",<50," 340",,TU20081852 Ray Harris 2020 04-24,TU20081852.csv,,,,,,,,,,,,,,,,,,,,,
B300958," 1.77"," 0.013",<1," 4.84"," 1280"," 310",<10,<20," 5.47",<10," 30"," 150"," 120"," 8.19",<50," 0.6",<50," 2.29"," 2030",<10," 1.42"," 90"," 670"," 20"," 0.13",<50," 20"," 180",<50," 0.40",<50,<50," 180",<50," 130",,TU20081852 Ray Harris 2020 04-24,TU20081852.csv,,,,,,,,,,,,,,,,,,,,,
B300959," 1.42",<0.005,<1," 3.39",<50," 110",<10,<20," 6.89",<10," 70"," 860"," 90"," 7.54",<50," 0.1",<50," 9.04"," 1170",<10," 0.82"," 760"," 490",<20," 0.18",<50," 20"," 190",<50," 0.62",<50,<50," 190",<50," 80",,TU20081852 Ray Harris 2020 04-24,TU20081852.csv,,,,,,,,,,,,,,,,,,,,,
B300960," 1.42"," 0.012",<1," 2.60",<50," 130",<10,<20," 2.10",<10," 30"," 160"," 210"," 13.15",<50," 0.4",<50," 0.92"," 1310",<10," 0.10"," 120"," 1240",<20," 0.10",<50," 10"," 50",<50," 0.17",<50,<50," 190",<50," 130",,TU20081852 Ray Harris 2020 04-24,TU20081852.csv,,,,,,,,,,,,,,,,,,,,,
