SAMPLE,Recvd Wt.,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,foldername,filename,Au_2
D535299,0.16,0.005,0.11,1.60,10.9,<10,30,0.14,0.13,6.21,0.34,9.61,12.2,6,0.76,142.5,3.47,3.70,<0.05,0.07,0.26,0.016,0.06,4.1,16.4,1.16,545,0.36,<0.01,0.14,3.9,660,3.5,3.7,<0.001,0.02,1.28,3.3,0.8,0.2,60.0,<0.01,0.08,1.0,<0.005,0.03,0.35,17,0.05,4.04,228,2.2,Soil Certificates,TU22092958.csv,
PN0000996001,0.24,0.018,0.38,1.17,48.9,<10,60,0.29,0.50,0.14,0.99,20.0,15.2,16,1.04,88.8,3.89,3.17,0.06,0.04,0.21,0.049,0.10,10.4,16.6,0.65,838,2.42,<0.01,0.33,14.2,450,51.4,8.5,0.001,0.02,18.20,3.9,2.0,0.4,23.4,<0.01,1.28,2.2,0.018,0.09,0.46,22,0.11,5.95,227,1.3,Soil Certificates,TU22075102.csv,
PN0000996002,0.20,0.041,0.34,0.72,81.2,<10,80,0.51,0.17,8.82,0.26,13.50,9.5,13,1.04,126.0,2.73,1.70,<0.05,0.03,0.25,0.028,0.07,7.2,6.6,0.31,670,1.06,<0.01,0.11,10.8,350,25.1,4.3,<0.001,0.02,16.20,2.4,0.8,0.2,59.8,<0.01,0.30,0.5,<0.005,0.05,0.39,14,0.11,6.75,90,1.0,Soil Certificates,TU22075102.csv,
PN0000996003,0.18,0.014,0.11,0.80,43.9,<10,70,0.23,0.11,12.90,0.20,9.86,8.3,20,1.90,49.0,2.45,1.84,<0.05,0.03,0.12,0.019,0.08,5.1,9.4,0.87,420,0.57,<0.01,0.16,17.6,320,20.8,5.6,<0.001,0.02,3.27,2.2,0.8,<0.2,150.5,<0.01,0.26,0.7,0.008,0.05,0.34,17,0.10,4.03,66,1.0,Soil Certificates,TU22075102.csv,
PN0000996004,0.22,0.011,0.24,1.46,258,<10,90,0.49,0.12,5.26,0.43,21.2,29.6,49,1.43,68.1,5.68,4.16,0.06,0.03,0.18,0.031,0.19,10.3,13.7,0.80,1375,1.26,0.01,0.29,86.6,390,8.9,12.6,0.001,0.02,9.64,5.7,0.9,0.3,86.4,<0.01,0.06,1.9,0.016,0.16,0.55,42,0.09,6.79,103,1.0,Soil Certificates,TU22075102.csv,
PN0000996005,0.19,0.007,0.04,1.58,51.3,<10,30,0.24,0.03,17.45,0.19,10.40,19.2,36,2.62,42.9,4.23,8.84,0.06,0.08,0.07,0.033,0.04,5.2,11.0,1.05,912,0.27,<0.01,0.08,39.3,440,1.9,2.6,<0.001,0.01,3.48,8.9,0.6,0.2,263,<0.01,0.02,0.5,0.006,0.03,0.21,116,0.27,9.35,51,2.0,Soil Certificates,TU22075102.csv,
PN0000996006,0.19,0.030,0.18,3.24,26.8,<10,70,0.39,0.11,1.37,0.21,19.85,37.0,61,3.00,191.0,6.98,11.60,0.08,0.09,0.34,0.047,0.08,11.6,21.8,1.92,1185,0.41,<0.01,0.17,67.9,240,5.6,6.6,0.001,0.01,3.14,19.0,0.5,0.5,34.9,<0.01,0.04,2.2,0.017,0.06,0.31,154,0.08,20.2,80,2.4,Soil Certificates,TU22075102.csv,
PN0000996007,0.21,0.014,0.15,2.83,33.9,10,70,0.55,0.14,1.13,0.21,15.75,34.3,57,0.68,164.5,6.28,10.85,0.08,0.10,0.17,0.037,0.10,9.0,18.4,1.51,1125,0.52,0.01,0.15,57.6,320,7.5,5.6,0.001,<0.01,2.17,12.8,0.4,0.4,37.2,<0.01,0.06,2.2,0.118,0.07,0.42,152,<0.05,16.15,72,2.9,Soil Certificates,TU22075102.csv,
PN0000996008,0.23,0.040,0.09,2.62,29.4,<10,70,0.50,0.10,0.75,0.16,15.40,32.1,96,1.04,140.5,5.25,7.98,0.06,0.12,0.08,0.024,0.06,9.8,18.4,1.61,659,0.46,0.01,0.17,66.5,220,4.6,4.9,<0.001,<0.01,1.52,9.3,0.2,0.4,30.2,<0.01,0.04,2.7,0.078,0.08,0.36,106,<0.05,11.65,67,4.3,Soil Certificates,TU22075102.csv,
PN0000996009,0.26,0.009,0.05,2.53,28.5,<10,50,0.27,0.03,11.05,0.14,10.55,33.1,140,1.43,109.5,4.29,5.97,0.05,0.08,0.18,0.027,0.04,5.7,19.4,1.52,999,0.18,<0.01,0.06,86.2,260,1.9,2.3,<0.001,0.01,3.73,15.2,0.4,0.2,62.9,<0.01,0.03,0.8,0.006,0.04,0.15,95,0.09,15.70,51,1.7,Soil Certificates,TU22075102.csv,
